month,tilt_angle,system_loss,capacity_kw,power_output_w,solar_radiation_kwh_m2_day
9,15,10,1,129.9075,5.582813045
10,15,10,1,142.9819678,6.072510505
11,15,10,1,136.1286383,5.825238295
12,15,10,1,135.1582233,5.553074011
1,15,10,2,280.8283952,5.909868089
2,15,10,2,266.9790893,6.291763307
3,15,10,2,320.1976691,7.019221555
4,15,10,2,319.4615772,7.332269724
5,15,10,2,321.386446,7.036781051
6,15,10,2,264.0974681,5.803166651
7,15,10,2,260.9919408,5.392150846
8,15,10,2,258.7213489,5.314003881
9,15,10,2,259.815,5.582813045
10,15,10,2,285.9639357,6.072510505
11,15,10,2,272.2572766,5.825238295
12,15,10,2,270.3164466,5.553074011
1,15,10,3,421.2425929,5.909868089
2,15,10,3,400.4686339,6.291763307
3,15,10,3,480.2965037,7.019221555
4,15,10,3,479.1923657,7.332269724
5,15,10,3,482.0796689,7.036781051
6,15,10,3,396.1462022,5.803166651
7,15,10,3,391.4879111,5.392150846
8,15,10,3,388.0820234,5.314003881
9,15,10,3,389.7225,5.582813045
10,15,10,3,428.9459035,6.072510505
11,15,10,3,408.385915,5.825238295
12,15,10,3,405.4746699,5.553074011
1,15,12,1,137.2653445,5.909868089
2,15,12,1,130.4958058,6.291763307
3,15,12,1,156.5083172,7.019221555
4,15,12,1,156.149507,7.332269724
5,15,12,1,157.0881758,7.036781051
6,15,12,1,129.0807126,5.803166651
7,15,12,1,127.5615329,5.392150846
8,15,12,1,126.4532274,5.314003881
9,15,12,1,126.9889582,5.582813045
10,15,12,1,139.7739392,6.072510505
11,15,12,1,133.0744913,5.825238295
12,15,12,1,132.1263457,5.553074011
1,15,12,2,274.5306889,5.909868089
2,15,12,2,260.9916115,6.291763307
3,15,12,2,313.0166345,7.019221555
4,15,12,2,312.299014,7.332269724
5,15,12,2,314.1763517,7.036781051
6,15,12,2,258.1614252,5.803166651
7,15,12,2,255.1230658,5.392150846
8,15,12,2,252.9064547,5.314003881
9,15,12,2,253.9779164,5.582813045
10,15,12,2,279.5478785,6.072510505
11,15,12,2,266.1489827,5.825238295
12,15,12,2,264.2526915,5.553074011
1,15,12,3,411.7960334,5.909868089
2,15,12,3,391.4874173,6.291763307
3,15,12,3,469.5249517,7.019221555
4,15,12,3,468.448521,7.332269724
5,15,12,3,471.2645275,7.036781051
6,15,12,3,387.2421378,5.803166651
7,15,12,3,382.6845987,5.392150846
8,15,12,3,379.3596821,5.314003881
9,15,12,3,380.9668745,5.582813045
10,15,12,3,419.3218177,6.072510505
11,15,12,3,399.223474,5.825238295
12,15,12,3,396.3790372,5.553074011
1,15,14,1,134.1164913,5.909868089
2,15,14,1,127.5020669,6.291763307
3,15,14,1,152.9177999,7.019221555
4,15,14,1,152.5682254,7.332269724
5,15,14,1,153.4832529,7.036781051
6,15,14,1,126.1129795,5.803166651
7,15,14,1,124.6271543,5.392150846
8,15,14,1,123.5457803,5.314003881
9,15,14,1,124.0704163,5.582813045
10,15,14,1,136.5659106,6.072510505
11,15,14,1,130.0203444,5.825238295
12,15,14,1,129.0944682,5.553074011
1,15,14,2,268.2329826,5.909868089
2,15,14,2,255.0041338,6.291763307
3,15,14,2,305.8355998,7.019221555
4,15,14,2,305.1364508,7.332269724
5,15,14,2,306.9665058,7.036781051
6,15,14,2,252.2259589,5.803166651
7,15,14,2,249.2543085,5.392150846
8,15,14,2,247.0915605,5.314003881
9,15,14,2,248.1408327,5.582813045
10,15,14,2,273.1318212,6.072510505
11,15,14,2,260.0406887,5.825238295
12,15,14,2,258.1889364,5.553074011
1,15,14,3,402.3494739,5.909868089
2,15,14,3,382.5062007,6.291763307
3,15,14,3,458.7533997,7.019221555
4,15,14,3,457.7046763,7.332269724
5,15,14,3,460.4497587,7.036781051
6,15,14,3,378.3389384,5.803166651
7,15,14,3,373.8814628,5.392150846
8,15,14,3,370.6373408,5.314003881
9,15,14,3,372.211249,5.582813045
10,15,14,3,409.6977319,6.072510505
11,15,14,3,390.0610331,5.825238295
12,15,14,3,387.2834045,5.553074011
1,15,16,1,130.9676382,5.909868089
2,15,16,1,124.508328,6.291763307
3,15,16,1,149.3272826,7.019221555
4,15,16,1,148.9869438,7.332269724
5,15,16,1,149.8785716,7.036781051
6,15,16,1,123.1453329,5.803166651
7,15,16,1,121.6929919,5.392150846
8,15,16,1,120.6383332,5.314003881
9,15,16,1,121.1518745,5.582813045
10,15,16,1,133.3578956,6.072510505
11,15,16,1,126.9661974,5.825238295
12,15,16,1,126.0625906,5.553074011
1,15,16,2,261.9352763,5.909868089
2,15,16,2,249.016656,6.291763307
3,15,16,2,298.6545651,7.019221555
4,15,16,2,297.9738877,7.332269724
5,15,16,2,299.7571432,7.036781051
6,15,16,2,246.2906658,5.803166651
7,15,16,2,243.3859839,5.392150846
8,15,16,2,241.2766663,5.314003881
9,15,16,2,242.303749,5.582813045
10,15,16,2,266.7157913,6.072510505
11,15,16,2,253.9323948,5.825238295
12,15,16,2,252.1251812,5.553074011
1,15,16,3,392.9029145,5.909868089
2,15,16,3,373.5249841,6.291763307
3,15,16,3,447.9818477,7.019221555
4,15,16,3,446.9608315,7.332269724
5,15,16,3,449.6357147,7.036781051
6,15,16,3,369.4359987,5.803166651
7,15,16,3,365.0789758,5.392150846
8,15,16,3,361.9149995,5.314003881
9,15,16,3,363.4556235,5.582813045
10,15,16,3,400.0736869,6.072510505
11,15,16,3,380.8985922,5.825238295
12,15,16,3,378.1877718,5.553074011
1,15,18,1,127.818785,5.909868089
2,15,18,1,121.5146373,6.291763307
3,15,18,1,145.7367652,7.019221555
4,15,18,1,145.4056623,7.332269724
5,15,18,1,146.2738902,7.036781051
6,15,18,1,120.1777792,5.803166651
7,15,18,1,118.7588296,5.392150846
8,15,18,1,117.7308861,5.314003881
9,15,18,1,118.2333327,5.582813045
10,15,18,1,130.1499611,6.072510505
11,15,18,1,123.9120504,5.825238295
12,15,18,1,123.0307131,5.553074011
1,15,18,2,255.63757,5.909868089
2,15,18,2,243.0292746,6.291763307
3,15,18,2,291.4735305,7.019221555
4,15,18,2,290.8113245,7.332269724
5,15,18,2,292.5477805,7.036781051
6,15,18,2,240.3555584,5.803166651
7,15,18,2,237.5176592,5.392150846
8,15,18,2,235.4617721,5.314003881
9,15,18,2,236.4666654,5.582813045
10,15,18,2,260.2999222,6.072510505
11,15,18,2,247.8241008,5.825238295
12,15,18,2,246.0614261,5.553074011
1,15,18,3,383.456355,5.909868089
2,15,18,3,364.5439119,6.291763307
3,15,18,3,437.2102957,7.019221555
4,15,18,3,436.2169868,7.332269724
5,15,18,3,438.8216707,7.036781051
6,15,18,3,360.5333377,5.803166651
7,15,18,3,356.2764889,5.392150846
8,15,18,3,353.1926582,5.314003881
9,15,18,3,354.699998,5.582813045
10,15,18,3,390.4498832,6.072510505
11,15,18,3,371.7361512,5.825238295
12,15,18,3,369.0921392,5.553074011
1,20,8,1,149.7410735,6.176155106
2,20,8,1,140.4613816,6.483724046
3,20,8,1,165.3683875,7.096843411
4,20,8,1,161.8359128,7.267334955
5,20,8,1,160.4097371,6.871230222
6,20,8,1,131.4801414,5.64951381
7,20,8,1,130.4594999,5.269883099
8,20,8,1,130.460599,5.239186925
9,20,8,1,132.9113163,5.585160563
10,20,8,1,149.16489,6.202650299
11,20,8,1,144.4602678,6.053024454
12,20,8,1,144.7068359,5.8220611
1,20,8,2,299.482147,6.176155106
2,20,8,2,280.9227633,6.483724046
3,20,8,2,330.7367749,7.096843411
4,20,8,2,323.6718256,7.267334955
5,20,8,2,320.8194741,6.871230222
6,20,8,2,262.9602827,5.64951381
7,20,8,2,260.9189999,5.269883099
8,20,8,2,260.921198,5.239186925
9,20,8,2,265.8226325,5.585160563
10,20,8,2,298.3297799,6.202650299
11,20,8,2,288.9205357,6.053024454
12,20,8,2,289.4136717,5.8220611
1,20,8,3,449.2232205,6.176155106
2,20,8,3,421.3841449,6.483724046
3,20,8,3,496.1051624,7.096843411
4,20,8,3,485.5077385,7.267334955
5,20,8,3,481.2292112,6.871230222
6,20,8,3,394.4404241,5.64951381
7,20,8,3,391.3784998,5.269883099
8,20,8,3,391.381797,5.239186925
9,20,8,3,398.7339488,5.585160563
10,20,8,3,447.4946699,6.202650299
11,20,8,3,433.3808035,6.053024454
12,20,8,3,434.1205076,5.8220611
1,20,10,1,146.4579155,6.176155106
2,20,10,1,137.3811624,6.483724046
3,20,10,1,161.7413694,7.096843411
4,20,10,1,158.2867216,7.267334955
5,20,10,1,156.8892232,6.871230222
6,20,10,1,128.5889575,5.64951381
7,20,10,1,127.5896474,5.269883099
8,20,10,1,127.5924459,5.239186925
9,20,10,1,129.9909206,5.585160563
10,20,10,1,145.8921897,6.202650299
11,20,10,1,141.291393,6.053024454
12,20,10,1,141.5332901,5.8220611
1,20,10,2,292.915831,6.176155106
2,20,10,2,274.7623247,6.483724046
3,20,10,2,323.4827387,7.096843411
4,20,10,2,316.5734432,7.267334955
5,20,10,2,313.7784465,6.871230222
6,20,10,2,257.1779149,5.64951381
7,20,10,2,255.1792948,5.269883099
8,20,10,2,255.1848918,5.239186925
9,20,10,2,259.9818413,5.585160563
10,20,10,2,291.7843795,6.202650299
11,20,10,2,282.5827859,6.053024454
12,20,10,2,283.0665803,5.8220611
1,20,10,3,439.3737466,6.176155106
2,20,10,3,412.1434871,6.483724046
3,20,10,3,485.2241081,7.096843411
4,20,10,3,474.8601648,7.267334955
5,20,10,3,470.6676697,6.871230222
6,20,10,3,385.7668724,5.64951381
7,20,10,3,382.7689423,5.269883099
8,20,10,3,382.7773376,5.239186925
9,20,10,3,389.9727619,5.585160563
10,20,10,3,437.6765692,6.202650299
11,20,10,3,423.8741789,6.053024454
12,20,10,3,424.5998704,5.8220611
1,20,12,1,143.1747575,6.176155106
2,20,12,1,134.3009431,6.483724046
3,20,12,1,158.1143513,7.096843411
4,20,12,1,154.7375304,7.267334955
5,20,12,1,153.3687316,6.871230222
6,20,12,1,125.6980394,5.64951381
7,20,12,1,124.7198105,5.269883099
8,20,12,1,124.7242927,5.239186925
9,20,12,1,127.070525,5.585160563
10,20,12,1,142.6194895,6.202650299
11,20,12,1,138.1225181,6.053024454
12,20,12,1,138.3597444,5.8220611
1,20,12,2,286.349515,6.176155106
2,20,12,2,268.6018862,6.483724046
3,20,12,2,316.2287025,7.096843411
4,20,12,2,309.4750608,7.267334955
5,20,12,2,306.7374632,6.871230222
6,20,12,2,251.3960787,5.64951381
7,20,12,2,249.4396211,5.269883099
8,20,12,2,249.4485855,5.239186925
9,20,12,2,254.14105,5.585160563
10,20,12,2,285.2389791,6.202650299
11,20,12,2,276.2450362,6.053024454
12,20,12,2,276.7194888,5.8220611
1,20,12,3,429.5242726,6.176155106
2,20,12,3,402.9028293,6.483724046
3,20,12,3,474.3430538,7.096843411
4,20,12,3,464.2125912,7.267334955
5,20,12,3,460.1061948,6.871230222
6,20,12,3,377.0941181,5.64951381
7,20,12,3,374.1594316,5.269883099
8,20,12,3,374.1728782,5.239186925
9,20,12,3,381.2115751,5.585160563
10,20,12,3,427.8584686,6.202650299
11,20,12,3,414.3675543,6.053024454
12,20,12,3,415.0792333,5.8220611
1,20,14,1,139.8915995,6.176155106
2,20,14,1,131.2207238,6.483724046
3,20,14,1,154.4873331,7.096843411
4,20,14,1,151.1883392,7.267334955
5,20,14,1,149.8485676,6.871230222
6,20,14,1,122.8072381,5.64951381
7,20,14,1,121.8502138,5.269883099
8,20,14,1,121.8561396,5.239186925
9,20,14,1,124.1501294,5.585160563
10,20,14,1,139.3467893,6.202650299
11,20,14,1,134.9536433,6.053024454
12,20,14,1,135.1861987,5.8220611
1,20,14,2,279.7831991,6.176155106
2,20,14,2,262.4414477,6.483724046
3,20,14,2,308.9746663,7.096843411
4,20,14,2,302.3766784,7.267334955
5,20,14,2,299.6971352,6.871230222
6,20,14,2,245.6144762,5.64951381
7,20,14,2,243.7004276,5.269883099
8,20,14,2,243.7122792,5.239186925
9,20,14,2,248.3002588,5.585160563
10,20,14,2,278.6935786,6.202650299
11,20,14,2,269.9072865,6.053024454
12,20,14,2,270.3723974,5.8220611
1,20,14,3,419.6747986,6.176155106
2,20,14,3,393.6621715,6.483724046
3,20,14,3,463.4619994,7.096843411
4,20,14,3,453.5650176,7.267334955
5,20,14,3,449.5457028,6.871230222
6,20,14,3,368.4217143,5.64951381
7,20,14,3,365.5506414,5.269883099
8,20,14,3,365.5684188,5.239186925
9,20,14,3,372.4503882,5.585160563
10,20,14,3,418.040368,6.202650299
11,20,14,3,404.8609298,6.053024454
12,20,14,3,405.5585961,5.8220611
1,20,16,1,136.6084415,6.176155106
2,20,16,1,128.1405046,6.483724046
3,20,16,1,150.860315,7.096843411
4,20,16,1,147.639148,7.267334955
5,20,16,1,146.3284138,6.871230222
6,20,16,1,119.9165299,5.64951381
7,20,16,1,118.9806315,5.269883099
8,20,16,1,118.9879865,5.239186925
9,20,16,1,121.2297338,5.585160563
10,20,16,1,136.0741494,6.202650299
11,20,16,1,131.7847684,6.053024454
12,20,16,1,132.012653,5.8220611
1,20,16,2,273.2168831,6.176155106
2,20,16,2,256.2810092,6.483724046
3,20,16,2,301.7206301,7.096843411
4,20,16,2,295.278296,7.267334955
5,20,16,2,292.6568277,6.871230222
6,20,16,2,239.8330597,5.64951381
7,20,16,2,237.9612629,5.269883099
8,20,16,2,237.9759729,5.239186925
9,20,16,2,242.4594675,5.585160563
10,20,16,2,272.1482989,6.202650299
11,20,16,2,263.5695368,6.053024454
12,20,16,2,264.025306,5.8220611
1,20,16,3,409.8253246,6.176155106
2,20,16,3,384.4215137,6.483724046
3,20,16,3,452.5809451,7.096843411
4,20,16,3,442.917444,7.267334955
5,20,16,3,438.9852415,6.871230222
6,20,16,3,359.7495896,5.64951381
7,20,16,3,356.9418944,5.269883099
8,20,16,3,356.9639594,5.239186925
9,20,16,3,363.6892013,5.585160563
10,20,16,3,408.2224483,6.202650299
11,20,16,3,395.3543052,6.053024454
12,20,16,3,396.037959,5.8220611
1,20,18,1,133.3252835,6.176155106
2,20,18,1,125.0602853,6.483724046
3,20,18,1,147.2332969,7.096843411
4,20,18,1,144.0899568,7.267334955
5,20,18,1,142.8082601,6.871230222
6,20,18,1,117.025933,5.64951381
7,20,18,1,116.1110492,5.269883099
8,20,18,1,116.1198333,5.239186925
9,20,18,1,118.3093381,5.585160563
10,20,18,1,132.8015422,6.202650299
11,20,18,1,128.6158935,6.053024454
12,20,18,1,128.8391073,5.8220611
1,20,18,2,266.6505671,6.176155106
2,20,18,2,250.1205706,6.483724046
3,20,18,2,294.4665939,7.096843411
4,20,18,2,288.1799136,7.267334955
5,20,18,2,285.6165201,6.871230222
6,20,18,2,234.0518659,5.64951381
7,20,18,2,232.2220983,5.269883099
8,20,18,2,232.2396667,5.239186925
9,20,18,2,236.6186763,5.585160563
10,20,18,2,265.6030843,6.202650299
11,20,18,2,257.2317871,6.053024454
12,20,18,2,257.6782145,5.8220611
1,20,18,3,399.9758506,6.176155106
2,20,18,3,375.180856,6.483724046
3,20,18,3,441.6998908,7.096843411
4,20,18,3,432.2698704,7.267334955
5,20,18,3,428.4247802,6.871230222
6,20,18,3,351.0777989,5.64951381
7,20,18,3,348.3331475,5.269883099
8,20,18,3,348.3595,5.239186925
9,20,18,3,354.9280144,5.585160563
10,20,18,3,398.4046265,6.202650299
11,20,18,3,385.8476806,6.053024454
12,20,18,3,386.5173218,5.8220611
1,25,8,1,154.9555063,6.402520415
2,25,8,1,143.5624183,6.633867869
3,25,8,1,166.0695139,7.129342825
4,25,8,1,159.4071872,7.156466998
5,25,8,1,155.5693372,6.663300746
6,25,8,1,127.2179425,5.464951216
7,25,8,1,126.7954096,5.120386864
8,25,8,1,127.9410137,5.136380836
9,25,8,1,132.2418864,5.555326049
10,25,8,1,151.2544412,6.294214221
11,25,8,1,148.8006349,6.242272063
12,25,8,1,150.2572377,6.053731223
1,25,8,2,309.9110126,6.402520415
2,25,8,2,287.1248366,6.633867869
3,25,8,2,332.1390278,7.129342825
4,25,8,2,318.8143743,7.156466998
5,25,8,2,311.1386744,6.663300746
6,25,8,2,254.435885,5.464951216
7,25,8,2,253.5908192,5.120386864
8,25,8,2,255.8820274,5.136380836
9,25,8,2,264.4837727,5.555326049
10,25,8,2,302.5088824,6.294214221
11,25,8,2,297.6012697,6.242272063
12,25,8,2,300.5144755,6.053731223
1,25,8,3,464.8665188,6.402520415
2,25,8,3,430.6872549,6.633867869
3,25,8,3,498.2085418,7.129342825
4,25,8,3,478.2215615,7.156466998
5,25,8,3,466.7080116,6.663300746
6,25,8,3,381.6538275,5.464951216
7,25,8,3,380.3862289,5.120386864
8,25,8,3,383.8230411,5.136380836
9,25,8,3,396.7256591,5.555326049
10,25,8,3,453.7633236,6.294214221
11,25,8,3,446.4019046,6.242272063
12,25,8,3,450.7717132,6.053731223
1,25,10,1,151.5589049,6.402520415
2,25,10,1,140.4272039,6.633867869
3,25,10,1,162.4272539,7.129342825
4,25,10,1,155.9107943,7.156466998
5,25,10,1,152.1540664,6.663300746
6,25,10,1,124.4196592,5.464951216
7,25,10,1,124.0052243,5.120386864
8,25,10,1,125.1276342,5.136380836
9,25,10,1,129.3360436,5.555326049
10,25,10,1,147.936316,6.294214221
11,25,10,1,145.5374042,6.242272063
12,25,10,1,146.9629546,6.053731223
1,25,10,2,303.1178098,6.402520415
2,25,10,2,280.8544077,6.633867869
3,25,10,2,324.8545079,7.129342825
